trip_id,the_geom,trip_start_timestamp,pickup_centroid_latitude,pickup_centroid_longitude,pickup_centroid_location,dropoff_centroid_latitude,dropoff_centroid_longitude,dropoff_centroid_location
3eff32f8e256d290eb818336e513aab27868cc7e,0020000002000010E600000008C055E8B04B16C5384044F428B21102DEC055E8B04B16C5384044F428B21102DEC055E86E0EACEDBF4044F512257F3D0DC055E89E12217A2A4044F7A2A03A1AFAC055E936BA874C7B4044F994020CECF0C055EA0913430B954044F97D6979AC99C055E9B9E20971844044F980122614B4C055E99E5A42820B4044FC88F2A78FC2,2021-01-31T22:00,41.9074919303,-87.6357600901,POINT (41.9074919303 -87.6357600901),41.9729293173,-87.6502900743,POINT (41.9729293173 -87.6502900743)
cd2daac929ff60ca3a7f77af94aec660ecc6fe12,0020000002000010E600000008C055F395D4EBAA334044F92749458656C055F395D4EBAA334044F92749458656C055F395D4EBAA334044F92749458656C055F0DB879CA1494044FA1D93F752B9C055EE4D0B415A464044FA0EFAA51B5AC055EE2E06101B734044FBE9AF5BA2BEC055EBC3F3A279924044F9513C15B882C055EC00411351B44044FCD266C6BDD2,2021-01-31T22:00,41.9465114202,-87.8060200025,POINT (41.9465114202 -87.8060200025),41.9751709433,-87.6875155152,POINT (41.9751709433 -87.6875155152)
eb93bb87cfee67990089c3badd23c79cb779efe2,0020000002000010E600000008C055F141612C116C4044E573AA9D4623C055F141612C116C4044E573AA9D4623C055EE8604BF01884044E2881661DCB8C055EE596D5312ED4044E5806E56482CC055EE596D5312ED4044E5806E56482CC055EB0A488A30BC4044EA3AE4E0BC59C055EB0A488A30BC4044EA3AE4E0BC59C055E7986AA254364044EAE5256BBADD,2021-01-31T22:00,41.7925923603,-87.7696154528,POINT (41.7925923603 -87.7696154528),41.8351179863,-87.6186777673,POINT (41.8351179863 -87.6186777673)
2c94993b40b54a6689c8c3e19ff998da45aab74d,0020000002000010E600000008C055E7A956F2FBC24044F29074C136DBC055E7A956F2FBC24044F29074C136DBC055E8747A3A6BA74044F33BE7F1422CC055E8747A3A6BA74044F33BE7F1422CC055E8D27084EFB64044F254E9E62700C055E923C61E3A864044F15182D9AD94C055E923C61E3A864044F15182D9AD94C055EB8FD64874DA4044F04E1A005A8F,2021-01-31T22:00,41.8950334495,-87.6197106717,POINT (41.8950334495 -87.6197106717),41.8773834707,-87.6806541164,POINT (41.8773834707 -87.6806541164)
b560e265ed6b7ecf7f634f383972d5b532598894,0020000002000010E600000008C055ECBEF60D77884044F61D051F8AC6C055EB496AA184564044F35AC0334B01C055EA0C5ED011724044F085446AAE99C055E923C61E3A864044F15182D9AD94C055E80325E754BF4044F07EAADEA50CC055E7D1AE701C464044EF700FF80EA8C055E782CB2787E44044EDFF2BE4E03FC055E78B034F45014044E80EB5F99748,2021-01-31T22:00,41.9227606205,-87.6991553432,POINT (41.9227606205 -87.6991553432),41.8129489392,-87.6178596758,POINT (41.8129489392 -87.6178596758)
3552cbf3811ddf62372c32bc16c20b7b1611c990,0020000002000010E600000004C055ED84796FB2B44044F82636C34516C055EC00411351B44044FCD266C6BDD2C055E9F9EB0437A14044FB9FBA049E1FC055E9F9EB0437A14044FB9FBA049E1F,2021-01-31T22:00,41.9386661962,-87.7112105933,POINT (41.9386661962 -87.7112105933),41.96581197,-87.6558787862,POINT (41.96581197 -87.6558787862)
cc4dfe4db3196206a1495b8f48f7ec16ad396ce1,0020000002000010E600000002C055F016538AF6D14044F6C2C67F91EDC055ED90FC768F7D4044F6F446AB2085,2021-01-31T22:00,41.927819073,-87.7513626916,POINT (41.927819073 -87.7513626916),41.9293297134,-87.7119742544,POINT (41.9293297134 -87.7119742544)
97cc88781922fbe3b62b46e7ba23fce7f22481a1,0020000002000010E600000008C055F00F4EB19AC14044E49B9974C1DAC055ECBA22A3370A4044E89F74B5E49DC055ECBA22A3370A4044E89F74B5E49DC055EC926514D7A84044E5D0ABC130DAC055E985BDE6DCC24044EB06F7E07DADC055E9FBDFCBF1CA4044F8DC6AD2835BC055E9FBDFCBF1CA4044F8DC6AD2835BC055E99E5A42820B4044FC88F2A78FC2,2021-01-31T22:00,41.785998518,-87.7509342894,POINT (41.785998518 -87.7509342894),41.9729293173,-87.6502900743,POINT (41.9729293173 -87.6502900743)
eacfdc57baf8d4a09980885b0c691497d85cd39d,0020000002000010E600000002C055E76EBDC463754044E1B21233CFB4C055E586BB1841004044DF41EE2BD50C,2021-01-31T22:00,41.7632467988,-87.6161341112,POINT (41.7632467988 -87.6161341112),41.7441995348,-87.5863483178,POINT (41.7441995348 -87.5863483178)
7fbccbe05852b53d9cc87ebfb96e1cd33338024b,0020000002000010E600000002C055EB8461009D754044F5D15AE9F019C055EB2E992A2A6D4044F325C2282C65,2021-01-31T22:00,41.9204515116,-87.6799547678,POINT (41.9204515116 -87.6799547678),41.8995897957,-87.6747191345,POINT (41.8995897957 -87.6747191345)
